"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Intergraf European Federation for Print and Digital Communication",Belgium,"500000 - 599999",1,4,0,2009-12-18
"International Trademark Association","United States","500000 - 599999",1,2.25,5,2010-12-21
"Irish Funds Industry Association CLG",Ireland,"500000 - 599999",0,2,0,2009-01-30
"Japan Business Council in Europe",Belgium,"500000 - 599999",1,5,4,2009-02-11
Jernkontoret,Sweden,"500000 - 599999",0,2.75,0,2012-04-02
"Landbrug & Fødevarer - Danish Agriculture and Food Council",Denmark,"500000 - 599999",3,3.75,21,2008-10-09
"Lantbrukarnas Riksförbund",Sweden,"500000 - 599999",3,3,13,2011-01-24
Leaseurope,Belgium,"500000 - 599999",1,7.5,4,2016-06-08
"Mouvement des Entreprises de France",France,"500000 - 599999",4,2.75,29,2009-02-25
"Nickel Institute",Canada,"500000 - 599999",4,2,8,2010-04-08
"Petcore Europe",Belgium,"500000 - 599999",3,2.25,0,2014-03-03
"Polish Electricity Association",Poland,"500000 - 599999",5,4.5,28,2013-01-11
RailNetEurope,Austria,"500000 - 599999",0,3.25,0,2016-08-03
"Seldia - The European Direct Selling Association",Belgium,"500000 - 599999",1,3,3,2008-10-03
"The Brewers of Europe",Belgium,"500000 - 599999",0,1.75,16,2011-08-04
"The Danish Chamber of Commerce",Denmark,"500000 - 599999",2,7,22,2008-09-25
UNIFE,Belgium,"500000 - 599999",0,2.25,43,2008-10-17
"Union Européenne du Commerce du Bétail et des Métiers de la Viande",France,"500000 - 599999",3,6,40,2008-12-30
"Union Internationale des Cinémas",Belgium,"500000 - 599999",2,4.5,8,2012-01-20
"Unioncamere Europa asbl",Belgium,"500000 - 599999",1,4,4,2011-08-04
"VPE Vasúti Pályakapacitás-elosztó Kft.",Hungary,"500000 - 599999",0,0.75,0,2016-09-06
"Verband deutscher Pfandbriefbanken e.V.",Germany,"500000 - 599999",1,3.5,4,2009-04-16
"WirtschaftsVereinigung Metalle",Germany,"500000 - 599999",0,4,2,2009-01-08
"Österreichischer Sparkassenverband",Austria,"500000 - 599999",0,5,7,2011-06-08
"Österreichs E-Wirtschaft",Austria,"500000 - 599999",0,3.5,3,2010-12-22
"European Express Association",Belgium,554000,0,3,14,2008-12-22
"British Irish Chamber of Commerce",Ireland,500000,0,6,1,2017-10-25
