"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"Association des Constructeurs Européens d'Automobiles",Belgium,"2000000 - 2249999",7,9,142,2008-12-18
"BVI Bundesverband Investment und Asset Management e.V.",Germany,"2000000 - 2249999",1,9,18,2010-09-14
"Centre for Fine Arts",Belgium,"2000000 - 2249999",3,5,20,2015-07-07
"Centro Sviluppo Materiali",Italy,"2000000 - 2249999",0,10,0,2016-12-02
"E.ON SE",Germany,"2000000 - 2249999",2,11,44,2011-12-06
"ENEL SpA",Italy,"2000000 - 2249999",10,6.25,75,2008-07-17
"European Policy Centre",Belgium,"2000000 - 2249999",0,24,49,2009-01-22
"Institute of European Environmental Policy","United Kingdom","2000000 - 2249999",2,14.5,12,2016-10-31
"WWF European Policy Programme",Belgium,"2000000 - 2249999",13,21.75,156,2008-09-23
"Danube Strategy Point",Belgium,2205000,0,6,0,2015-05-27
"Accountancy Europe",Belgium,2200000,4,12,5,2008-09-16
"Cités et Gouvernements Locaux Unis d'Afrique",Morocco,2197083,0,1.25,0,2016-11-09
"Institute for Climate Economics",France,2191358,0,22,0,2016-11-23
"Social Progress Imperative","United States",2068992,0,4,6,2016-11-21
"Camara Paraguaya de Carnes",Paraguay,2000000,0,0.75,1,2016-09-23
"HII GmbH Industrieanlagen Bau und Beratung",Germany,2000000,0,21,0,2015-04-20
"RWE AG",Germany,2000000,3,5.5,25,2010-04-15
"Telefonica, S.A.",Spain,2000000,6,6,89,2008-06-23
"Airbus Group N.V.",Netherlands,"1750000 - 1999999",11,6.5,202,2008-11-26
"British Bankers' Association","United Kingdom","1750000 - 1999999",2,11.75,14,2008-11-21
"Brunswick Group LLP","United Kingdom","1750000 - 1999999",25,12.25,17,2010-11-02
"Bureau Européen des Unions de Consommateurs",Belgium,"1750000 - 1999999",29,19.5,196,2008-10-29
"Credit Suisse Group AG",Switzerland,"1750000 - 1999999",0,2,8,2015-04-28
"Danish Bankers Association",Denmark,"1750000 - 1999999",1,10,13,2012-02-29
"EVONIK INDUSTRIES AG",Germany,"1750000 - 1999999",10,9,6,2008-12-23
"Edelman Public Relations Worldwide",Belgium,"1750000 - 1999999",7,10.75,20,2012-01-23
