"organisation name","country head office","lobbying costs","EP passes","lobbyists (FTE)","# of meetings","registered date"
"EUROPEAN MAR II, LDA. & COMANDITA (ZONA FRANCA DA MADEIRA)",Portugal,2000000,0,3,1,2016-02-29
"PFA Koncernen",Denmark,2000000,0,4,1,2017-06-18
"RWE AG",Germany,2000000,3,6.5,25,2010-04-15
"Telefonica, S.A.",Spain,2000000,6,6,89,2008-06-23
"Amazon Europe Core SARL",Luxembourg,"1750000 - 1999999",5,4.25,85,2014-09-15
"Bundesvereinigung der Deutschen Arbeitgeberverbände e.V.",Germany,"1750000 - 1999999",8,14,47,2008-12-01
"City of London Corporation","United Kingdom","1750000 - 1999999",3,11.25,11,2015-09-25
"EVONIK INDUSTRIES AG",Germany,"1750000 - 1999999",7,7.75,6,2008-12-23
"FIPRA International Limited","United Kingdom","1750000 - 1999999",32,39.5,45,2010-10-06
"Finance Denmark",Denmark,"1750000 - 1999999",3,10,13,2012-02-29
"IBM Corporation","United States","1750000 - 1999999",4,5.75,115,2009-01-08
"ITTI Sp. z o.o.",Poland,"1750000 - 1999999",0,1.5,0,2015-12-03
"Instituut voor Bestuurders / L'Institut des Administrateurs",Belgium,"1750000 - 1999999",0,17.25,0,2010-08-31
"JINT vzw",Belgium,"1750000 - 1999999",0,18.25,0,2018-02-27
"NewTA Limited","United Kingdom","1750000 - 1999999",1,8.5,5,2018-08-10
"PNO Consultants",France,"1750000 - 1999999",0,4.75,0,2018-10-31
PlasticsEurope,Belgium,"1750000 - 1999999",10,8,19,2013-09-24
"Rosa Luxemburg Stiftung Brussels Office",Belgium,"1750000 - 1999999",6,9,0,2017-04-25
"Scotland Europa",Belgium,"1750000 - 1999999",4,9,3,2011-07-11
"TOTAL S.A.",France,"1750000 - 1999999",6,5.25,28,2008-12-16
"Transparency International",Germany,"1750000 - 1999999",12,16.75,47,2008-06-23
"Vodafone Belgium SA",Belgium,"1750000 - 1999999",7,7.5,117,2010-04-20
"Wirtschaftskammer Österreich",Austria,"1750000 - 1999999",0,15,36,2010-01-07
DIGITALEUROPE,Belgium,1900000,15,9.75,153,2011-10-26
"Inter-Environnement Wallonie",Belgium,1872446,0,0.5,0,2016-01-05
